Latitude,Longitude,LongitudeTimes2,station,StartTime,EndTime,norm_lat,norm_long,Elevation
53.32,-132.77,-265.54,KINDAKUN ROCKS (AUT),1998,2017,0.472275335,0.015951595,0
50.68,-121.93,-243.86,LILLOOET,1998,2017,0.219885277,0.612211221,193
50.22,-121.58,-243.16,LYTTON RCS,1998,2017,0.175908222,0.631463146,141
54.3,-130.61,-261.22,LUCY ISLAND LIGHTSTATION,1999,2017,0.565965583,0.134763476,0
55.3,-123.13,-246.26,MACKENZIE,1998,2017,0.661567878,0.54620462,694
48.57,-123.53,-247.06,MALAHAT,1998,2017,0.018164436,0.52420242,298
50.27,-117.82,-235.64,NAKUSP CS,1998,2017,0.180688337,0.838283828,498
49.49,-117.31,-234.62,NELSON CS,1998,2017,0.106118547,0.866336634,530
50.31,-122.73,-245.46,PEMBERTON AIRPORT CS,1998,2017,0.184512428,0.568206821,208
49.03,-119.44,-238.88,OSOYOOS CS,1998,2017,0.062141491,0.749174917,284
49.46,-119.6,-239.2,PENTICTON A,1998,2017,0.103250478,0.740374037,338
49.21,-122.69,-245.38,PITT MEADOWS CS,1998,2017,0.079349904,0.570407041,7
50.68,-127.37,-254.74,PORT HARDY A,1998,2017,0.219885277,0.312981298,17
53.89,-122.67,-245.34,PRINCE GEORGE,1998,2017,0.526768642,0.571507151,675
49.33,-123.26,-246.52,POINT ATKINSON,1998,2017,0.09082218,0.539053905,0
49.47,-120.51,-241.02,PRINCETON CS,1998,2017,0.104206501,0.690319032,693
54.29,-130.44,-260.88,PRINCE RUPERT,1998,2017,0.56500956,0.144114411,47
52.11,-124.14,-248.28,PUNTZI MOUNTAIN (AUT),1998,2017,0.356596558,0.490649065,900
53.03,-122.51,-245.02,QUESNEL,1998,2017,0.444550669,0.580308031,542
50.97,-118.18,-236.36,REVELSTOKE A,1998,2017,0.247609943,0.818481848,444
54.16,-131.66,-263.32,ROSE SPIT (AUT),1998,2017,0.552581262,0.077007701,5
53.25,-131.81,-263.62,SANDSPIT,1998,2017,0.465583174,0.068756876,6
49.11,-123.3,-246.6,SANDHEADS CS,2003,2017,0.069789675,0.536853685,0
50.7,-119.29,-238.58,SALMON ARM CS,1998,2017,0.221797323,0.757425743,354
48.78,-123.04,-246.08,SATURNA ISLAND CS,2001,2017,0.038240918,0.551155116,0
50.82,-128.91,-257.82,SARTINE ISLAND (AUT),1998,2017,0.233269598,0.228272827,5
48.38,-123.92,-247.84,SHERINGHAM POINT,1998,2017,0,0.502750275,87
54.83,-127.18,-254.36,SMITHERS,1998,2017,0.616634799,0.323432343,527
49.49,-124.43,-248.86,SISTERS ISLAND,1998,2017,0.106118547,0.47469747,0
50.11,-127.94,-255.88,SOLANDER ISLAND (AUT),1999,2017,0.165391969,0.281628163,6
49.75,-114.88,-229.76,SPARWOOD CS,1999,2017,0.130975143,1,1134
49.78,-123.16,-246.32,SQUAMISH AIRPORT,1998,2017,0.133843212,0.544554455,63
51.67,-124.4,-248.8,TATLAYOKO LAKE RCS,2000,2017,0.314531549,0.476347635,874
49.56,-119.65,-239.3,SUMMERLAND CS,1998,2017,0.112810707,0.737623762,484
49.19,-123.18,-246.36,VANCOUVER INTL A,1998,2017,0.077437859,0.543454345,3
54.47,-128.58,-257.16,TERRACE A,1998,2017,0.582217973,0.246424642,212
50.22,-119.19,-238.38,VERNON AUTO,1998,2017,0.175908222,0.762926293,484
48.41,-123.32,-246.64,VICTORIA GONZALES CS,1998,2017,0.002868069,0.535753575,35
48.53,-123.46,-246.92,VICTORIA HARTLAND CS,1998,2011,0.014340344,0.528052805,157
48.65,-123.43,-246.86,VICTORIA INTL A,1998,2017,0.02581262,0.52970297,15
49.11,-117.74,-235.48,WARFIELD RCS,2002,2017,0.069789675,0.842684268,549
48.46,-123.3,-246.6,VICTORIA UNIVERSITY CS,1998,2017,0.007648184,0.536853685,41
50.13,-122.95,-245.9,WHISTLER - NESTERS,2005,2017,0.167304015,0.556105611,651
49.35,-123.19,-246.38,WEST VANCOUVER AUT,1998,2017,0.092734226,0.54290429,276
52.18,-122.05,-244.1,WILLIAMS LAKE A,1998,2017,0.363288719,0.605610561,932
51.44,-116.36,-232.72,YOHO PARK,1998,2017,0.292543021,0.918591859,1652
49.02,-122.78,-245.56,WHITE ROCK CS,1998,2017,0.061185468,0.565456546,35
